calendar_year,cause,ranking,total_deaths,n
2001,All other forms of chronic ...,1,1888,22
2001,Acute myocardial infarction,2,1330,22
2001,Malignant neoplasms of trac...,3,1095,22
2001,Other chronic obstructive p...,4,664,22
2001,Organic dementia,14,280,22
2002,All other forms of chronic ...,1,1847,22
2002,Acute myocardial infarction,2,1294,22
2002,Malignant neoplasms of trac...,3,1224,22
2002,Other chronic obstructive p...,5,680,22
2002,Organic dementia,14,284,22
2003,All other forms of chronic ...,1,1749,22
2003,Malignant neoplasms of trac...,2,1257,22
2003,Acute myocardial infarction,3,1242,22
2003,Other chronic obstructive p...,6,670,22
2003,Organic dementia,15,281,22
2004,All other forms of chronic ...,1,1739,22
2004,Acute myocardial infarction,2,1337,22
2004,Malignant neoplasms of trac...,3,1284,22
2004,Other chronic obstructive p...,5,677,22
2004,Organic dementia,14,329,22
2005,All other forms of chronic ...,1,1742,22
2005,Malignant neoplasms of trac...,2,1309,22
2005,Acute myocardial infarction,3,1270,22
2005,Other chronic obstructive p...,4,762,22
2005,Organic dementia,8,458,22
2006,All other forms of chronic ...,1,1671,22
2006,Malignant neoplasms of trac...,2,1297,22
2006,Acute myocardial infarction,3,1207,22
2006,Other chronic obstructive p...,5,783,22
2006,Organic dementia,7,655,22
2007,All other forms of chronic ...,1,1727,22
2007,Malignant neoplasms of trac...,2,1357,22
2007,Acute myocardial infarction,3,1185,22
2007,Other chronic obstructive p...,4,829,22
2007,Organic dementia,6,654,22
2008,All other forms of chronic ...,1,1820,22
2008,Malignant neoplasms of trac...,2,1376,22
2008,Acute myocardial infarction,3,1198,22
2008,Other chronic obstructive p...,4,889,22
2008,Organic dementia,5,813,22
2009,All other forms of chronic ...,1,1834,22
2009,Malignant neoplasms of trac...,2,1447,22
2009,Acute myocardial infarction,3,1116,22
2009,Organic dementia,5,847,22
2009,Other chronic obstructive p...,6,835,22
2010,All other forms of chronic ...,1,1737,22
2010,Malignant neoplasms of trac...,2,1431,22
2010,Acute myocardial infarction,3,1053,22
2010,Organic dementia,4,939,22
2010,Other chronic obstructive p...,6,826,22
2011,All other forms of chronic ...,1,1828,22
2011,Malignant neoplasms of trac...,2,1445,22
2011,Organic dementia,3,1022,22
2011,Acute myocardial infarction,4,984,22
2011,Other chronic obstructive p...,5,969,22
2012,All other forms of chronic ...,1,1586,22
2012,Malignant neoplasms of trac...,2,1362,22
2012,Organic dementia,3,1113,22
2012,Acute myocardial infarction,4,1054,22
2012,Other chronic obstructive p...,5,941,22
2013,All other forms of chronic ...,1,1757,22
2013,Malignant neoplasms of trac...,2,1494,22
2013,Organic dementia,3,1361,22
2013,Acute myocardial infarction,4,1068,22
2013,Other chronic obstructive p...,5,995,22
2014,All other forms of chronic ...,1,1682,22
2014,Malignant neoplasms of trac...,2,1499,22
2014,Organic dementia,3,1491,22
2014,Acute myocardial infarction,4,1030,22
2014,Other chronic obstructive p...,5,937,22
2015,All other forms of chronic ...,1,1605,22
2015,Organic dementia,2,1540,22
2015,Malignant neoplasms of trac...,3,1510,22
2015,Other chronic obstructive p...,4,1071,22
2015,Acute myocardial infarction,5,1031,22
2016,Organic dementia,1,1664,22
2016,All other forms of chronic ...,2,1626,22
2016,Malignant neoplasms of trac...,3,1547,22
2016,Acute myocardial infarction,4,1102,22
2016,Other chronic obstructive p...,5,1090,22
2017,Organic dementia,1,1906,22
2017,All other forms of chronic ...,2,1678,22
2017,Malignant neoplasms of trac...,3,1620,22
2017,Other chronic obstructive p...,4,1118,22
2017,Acute myocardial infarction,5,1028,22
2018,Organic dementia,1,1986,22
2018,All other forms of chronic ...,2,1788,22
2018,Malignant neoplasms of trac...,3,1594,22
2018,Other chronic obstructive p...,4,1111,22
2018,Acute myocardial infarction,5,1071,22
2019,Organic dementia,1,1997,22
2019,All other forms of chronic ...,2,1886,22
2019,Malignant neoplasms of trac...,3,1523,22
2019,Other chronic obstructive p...,4,1159,22
2019,Acute myocardial infarction,5,1061,22
2020,Organic dementia,1,2081,22
2020,All other forms of chronic ...,2,1897,22
2020,Malignant neoplasms of trac...,3,1563,22
2020,Other chronic obstructive p...,5,1178,22
2020,Acute myocardial infarction,7,1067,22
2021,Organic dementia,2,2135,22
2021,All other forms of chronic ...,4,1939,22
2021,Malignant neoplasms of trac...,5,1552,22
2021,Acute myocardial infarction,6,1075,22
2021,Other chronic obstructive p...,7,1028,22
2022,Organic dementia,1,2377,22
2022,All other forms of chronic ...,2,2098,22
2022,Malignant neoplasms of trac...,5,1523,22
2022,Acute myocardial infarction,6,1240,22
2022,Other chronic obstructive p...,8,1183,22
